"Author","Days"
"Peter F. Hamilton","11.92"
"Dan Simmons","9.0"
"Adrian Tchaikovsky","7.0"
"Isaac Asimov","6.93"
"Joe Abercrombie","6.43"
"Peter V. Brett","6.4"
"James S.A. Corey","6.38"
"Liu Cixin","6.0"
"Alastair Reynolds","5.91"
"Josiah Bancroft","5.67"
"Robert Jackson Bennett","5.33"
"Dennis E. Taylor","5.0"
"K.J. Parker","5.0"
"Iain M. Banks","4.92"
"N.K. Jemisin","4.67"
"Arthur C. Clarke","3.67"
"Philip K. Dick","3.4"
"Ursula K. Le Guin","3.33"
"Kurt Vonnegut Jr.","3.2"
"John Scalzi","3.14"
