"Shelve","Genre"
"sci-fi","137"
"sci-fi-fantasy","75"
"space-opera","61"
"fantasy","50"
"classics","35"
"dystopian","19"
"epic-fantasy","14"
"mil-sci-fi","12"
"mystery","8"
"science","7"
"grimdark","6"
"time-travel","5"
"high-fantasy","5"
"short-stories","5"
"post-apocalyptic","5"
"humor","4"
"historical-fiction","4"
"adventure","4"
"dark-fantasy","4"
"adult","3"
"physics","3"
"philosophy","2"
"young-adult","2"
"mythology","2"
"thriller","2"
"horror","2"
"demon-cycle","2"
"2020-releases","2"
"fictión","1"
"cyberpunk","1"
"elon-musk","1"
"robots","1"
"memoir","1"
"biology","1"
"russian","1"
"aliens","1"
"history","1"
"astronomy","1"
"bobiverse","1"
"netgalley","1"
"western","1"
"lgbt","1"
"giveaways","1"
"novels","1"
"might-buy","1"
"urban-fantasy","1"
"evolution","1"
"biography","1"
"religion","1"
