"Month","Pages Read"
"2018-06","561"
"2018-07","2247"
"2018-08","2703"
"2018-09","2485"
"2018-10","2056"
"2018-11","2281"
"2018-12","2819"
"2019-01","2596"
"2019-02","1979"
"2019-03","2425"
"2019-04","1717"
"2019-05","2246"
"2019-06","2533"
"2019-07","2208"
"2019-08","2408"
"2019-09","1823"
"2019-10","3289"
"2019-11","2122"
"2019-12","2345"
"2020-01","2505"
"2020-02","4122"
"2020-03","2239"
"2020-04","2735"
"2020-05","4139"
"2020-06","2526"
"2020-07","3019"
"2020-08","3816"
"2020-09","2750"
"2020-10","3525"
"2020-11","1643"
